자치구,대여소갯수
마포구,140
광진구,106
양천구,120
은평구,115
성동구,108
강동구,133
강서구,214
송파구,242
중랑구,106
강북구,69
노원구,169
도봉구,94
금천구,79
동작구,82
관악구,95
서초구,165
중구,106
종로구,118
강남구,184
서대문구,94
성북구,98
구로구,124
동대문구,100
영등포구,185
용산구,97
