title,urls,desc
"""산학연 똘똘 뭉쳐"" 국내 자체 개발 20큐비트급 양자컴 올해 개시한다",https://n.news.naver.com/mnews/article/008/0005165358,우리나라 양자기술 최고위 정책 심의·의결기구인 양자전략위원회가 출범한 가운데 국내 연구팀이 20큐비트급 초전도 양자컴퓨팅 시스템을 기반으로 한 클라우드 서비스 개발에 성공했다. 한국표준과학연구원(이하 표준연)은 12
과기부 올해 '6.4조' 국가전략기술에 투입…AI 공격적 투자 나선다,https://n.news.naver.com/mnews/article/079/0004001720,국가 연구개발(R&D) 체질을 선도형으로 전환하기 위해 올해 국가전략기술에 총 6조 4천억 원을 투자한다. AI·첨단바이오·양자 등 3대 게임체인저 R&D에도 3조 이상을 지원한다. 과학기술정보통신부는 13일 국가과
"현대렌탈케어, ‘큐밍 아카데미’ 1기 출범",https://n.news.naver.com/mnews/article/138/0002192564,"현대렌탈케어(대표 천경호)는 창립 10주년을 맞아 렌탈 서비스 품질 강화를 위한 대규모 투자를 단행하고, 생활가전 브랜드 ‘현대큐밍’을 중심으로 전국 케어매니저의 역량 강화를 위한 ‘큐밍 아카데미’ 1기를 공식 출범"
내년 정부 R&D 투자…‘AI양자첨단바이오 기술’·기술사업화·인재확보 방점,https://n.news.naver.com/mnews/article/016/0002441736,- 국가과학기술자문회의 운영위원회 개최 - 2026년 정부 R&D 투자의 청사진 마련 과학기술 정부출연연구기관 R&D 모습.[헤럴드DB] [헤럴드경제=구본혁 기자] 정부가 내년 AI·양자·첨단바이오 등 3대 게임체인
"한국디자인진흥원-특허청, 디지털 변화 속 디자인 보호 나선다",https://n.news.naver.com/mnews/article/030/0003292941,한국디자인진흥원이 특허청과 디자인보호제도·디자인 산업 진흥을 위한 업무협약을 체결했다. 협약은 양 기관이 협력해 대내외 환경 변화에 맞춘 디자인 보호체계를 구축하고 개선 방안을 마련하고자 추진됐다. 양 기관은 디지털
"카카오, '다음' 떼내서 분사한다…""의사결정 효율화""",https://n.news.naver.com/mnews/article/079/0004001713,카카오가 사내독립기업(CIC)로 있던 '다음'을 분사하는 절차에 돌입한다. 13일 정보기술(IT) 업계에 따르면 카카오는 이날 사내 타운홀 미팅을 열고 다음을 분사하겠다고 밝혔다. 카카오는 지난 2023년 5월 다음
"유쾌한프로젝트, AI 멘탈 솔루션 `클라이피FAV` 세계 최초로 `MWC2025`서 공개",https://n.news.naver.com/mnews/article/029/0002941026,"AI 멘탈 에이전트 '클라이피FAV' 세계최초 공개, 전세계 기업·정부 관계자들의 이목 집중 상반기 중으로 클라이피 공식 모바일앱에서 FAV를 이용해볼 수 있을 것이라 밝혀 유쾌한프로젝트(대표 홍주열)가 스페인 바르"
"카카오, 포털 '다음' 분사 추진…사내독립기업 설립 2년만",https://n.news.naver.com/mnews/article/422/0000720899,카카오가 포털 서비스 다음을 사내독립기업(CIC)으로 분리한 지 약 2년 만에 분사를 추진합니다. 오늘(13일) ICT 업계에 따르면 카카오 콘텐츠 CIC는 이날 타운홀 미팅을 열고 직원들에게 이러한 분사 계획을 공
"[속보]카카오 김범수 CA협의체 공동 의장 사임, ""건강 문제""",https://n.news.naver.com/mnews/article/079/0004001706,김범수 카카오 창업자는 CA협의체 공동 의장에서 물러난다. 카카오 그룹의 CA협의체가 정신아 카카오 대표 단독 의장 체제로 전환된다. 카카오는 이 같은 CA협의체 조직개편을 마쳤다고 13일 밝혔다. 김 창업자가 당분
"노스볼트, 스웨덴서도 파산 신청…“자금 조달 지속 추진”",https://n.news.naver.com/mnews/article/030/0003292938,스웨덴 배터리 제조사 노스볼트가 현지에서 파산 신청을 했다고 12일(현지시간) 밝혔다. 노스볼트는 “최근 비용 증가·공급망 중단·수요 변화 등 복합적인 어려움을 겪어왔다”며 “이사회는 스웨덴 법원 파산 절차로 회사를
